,000,001,010,011,100,101,110,111,Time,Bz,mz
0,43.38625182031489,74.03939230819681,23.692531632347215,261.18567838239903,72.10026012226233,316.86571817551595,654.5669607040079,3554.163206854956,0.0,2.0,0.9108
1,162.20368534848043,157.71394439556033,521.3882140732467,584.364999298028,228.44980355436556,543.8175249158301,1332.4729424155903,1469.588885998899,0.8444444444444446,1.3091317575023838,0.3964
2,224.80755327646204,235.59406977530418,778.8965971411216,789.9861065114675,547.0209627841597,842.6924659040501,886.7033890243214,694.2988555831137,1.688888888888889,1.0144305151067046,0.1252
3,358.2606104630194,273.19568299806554,563.9407458788475,884.1343159344519,631.8785683428571,942.9255459811948,646.7498072703266,698.9147231312377,2.5333333333333337,0.8469164965816621,0.0926
4,611.4056643991447,560.6237700180656,582.3148784746459,627.2396441918394,805.6603646191519,549.36127815641,489.49627759769595,773.8981225430462,3.377777777777778,0.7357635526015777,-0.0642
5,1292.9909270644725,557.6274285478413,592.45969488353,387.7144179989087,546.7404458729568,420.9912566228901,611.8197936249481,589.656035384453,4.222222222222223,0.6541575007103084,-0.285
6,1226.9511921650453,726.1376361629808,412.6378875633111,421.3249946745372,464.8008984811639,423.6464057135931,751.8437514413887,572.6572337979798,5.066666666666667,0.5896372921025237,-0.2504
7,972.7064986491897,861.0808453036333,412.41046905462434,410.33891472786604,557.1525692567152,573.0337203753296,564.7151016658905,648.5618809667511,5.911111111111111,0.5355441715927642,-0.1924
8,712.5591527904256,925.131677277467,451.0320621146976,550.2437527914682,483.2546418531154,708.9822156010558,495.12310625520007,673.6733913165708,6.755555555555556,0.48790472017059844,-0.1084
9,625.0663780550033,819.7034230414773,499.3264573911883,632.3224297680582,536.4308235753211,746.3508090562738,434.0339568168624,706.7657222958154,7.600000000000001,0.44409652697002217,-0.072
10,595.0217977572273,745.3021222440764,559.606114022012,775.9648911623067,538.1623524512105,642.7733096506252,495.47942367953465,647.689989033007,8.444444444444446,0.4022019867576218,-0.0694
11,569.9743341987427,637.7749434462029,586.3375373877477,753.9099986249904,565.819082318856,701.1113393102253,539.8649876964334,645.2077770168025,9.28888888888889,0.3606655768913829,-0.0496
12,543.3817077569712,789.3408419208429,580.6036485746488,663.0420686485754,428.9014652345148,857.0400418498068,551.0694745083856,586.6207515062547,10.133333333333335,0.31812020894089094,-0.0546
13,493.68937328638447,859.3540513122724,447.06002329339964,695.1546141746405,479.619706612989,853.3300093152196,474.68476653705653,697.1074554680383,10.97777777777778,0.27339257261452193,-0.018
14,456.2247655584392,786.0820154775389,519.1891351210454,699.2892717190837,574.1782100485517,704.5416101531392,469.2517837844644,791.2432081377373,11.822222222222223,0.2258649471917871,-0.0032
15,574.2070785201661,685.1533881233236,545.0721341916469,687.4649975561363,552.003633564401,694.7184562715015,514.4079208886118,746.9723908842137,12.666666666666668,0.17631082428396438,-0.0328
16,427.6497876875974,678.5091581376108,475.3221450788526,778.9106452563865,450.4517797949668,871.7578413954158,501.46844318347513,815.9301994656953,13.511111111111113,0.1269390044344757,0.0572
17,464.46419560042364,666.485249716027,485.05290273469524,751.0724179019437,539.1542881629789,829.7793563827138,488.40479879527527,775.5867907059425,14.355555555555558,0.07938268602297345,0.0244
18,471.15196778708435,691.8313898101042,511.90981970196793,673.5704704276629,477.0084765627181,831.3177222773951,584.4886197386882,758.7215336943791,15.200000000000001,0.03363689547507681,0.022
