,Time,000,001,010,011,100,101,110,111,Bz,Exact,Interaction,mz
0,0.0,67,144,110,383,206,629,813,2648,2.0,1.4596628699881056,1.4238531271236605,0.9108
1,0.8444444444444446,251,267,546,571,394,634,1146,1191,1.3091317575023838,1.4504930093093629,1.3529921353800178,0.3964
2,1.688888888888889,358,379,735,708,642,828,752,598,1.0144305151067046,1.4512608482827263,1.3505897185750688,0.1252
3,2.5333333333333337,459,436,563,765,705,917,570,585,0.8469164965816621,1.421563744208787,1.3747273860189215,0.0926
4,3.377777777777778,710,655,554,573,812,615,461,620,0.7357635526015777,1.3539950279839612,1.3837841189767155,-0.0642
5,4.222222222222223,1291,667,558,381,608,473,532,490,0.6541575007103084,1.2597480252576658,1.3474051260152113,-0.285
6,5.066666666666667,1228,810,426,396,549,471,631,489,0.5896372921025237,1.156807730622029,1.2564213219336104,-0.2504
7,5.911111111111111,1023,917,412,391,618,609,499,531,0.5355441715927642,1.059303443245046,1.123126279283246,-0.1924
8,6.755555555555556,806,977,446,503,554,718,449,547,0.48790472017059844,0.9737913511671792,0.9707723400026667,-0.1084
9,7.600000000000001,728,891,486,570,595,754,408,568,0.44409652697002217,0.9006709191914509,0.8213778023727233,-0.072
10,8.444444444444446,703,834,547,682,591,662,450,531,0.4022019867576218,0.8368425254157035,0.6882430578295872,-0.0694
11,9.28888888888889,675,740,568,666,623,711,484,533,0.3606655768913829,0.7770437352918463,0.5800769711818352,-0.0496
12,10.133333333333335,660,868,556,594,520,826,485,491,0.31812020894089094,0.7141309101580116,0.502085799084329,-0.0546
13,10.97777777777778,611,928,450,615,556,838,436,566,0.27339257261452193,0.6396740279967769,0.45237885387101034,-0.018
14,11.822222222222223,582,855,507,627,623,730,443,633,0.2258649471917871,0.5455179374436792,0.42012726996460725,-0.0032
15,12.666666666666668,677,774,530,617,610,715,473,604,0.17631082428396438,0.42743746457083687,0.3850611410384242,-0.0328
16,13.511111111111113,539,777,480,686,535,860,467,656,0.1269390044344757,0.2892825753468984,0.32385621459409447,0.0572
17,14.355555555555558,574,764,485,663,606,828,455,625,0.07938268602297345,0.14235968522691259,0.22387836669909783,0.0244
18,15.200000000000001,582,778,505,605,562,824,525,619,0.03363689547507681,-0.001401856353376113,0.09049232315382577,0.022
